,Ingredient,Average retail price,Unit,Refrigerator Storage,Freezer Storage
0,basmati rice; radishes; fresh mint and basil leaves,1.31,per pound,2 years,
1,accompaniments: white rice; hot sauce; sliced avocado,2.24,per pound,2 years,
2,special equipment: potato ricer,0.56,per pound,2 years,
3,special equipment: a potato ricer,0.56,per pound,2 years,
4,potato ricer,0.56,per pound,2 years,
5,accompaniment: cooked white rice; mango chutney,1.38,per pound,2 years,
6,"shredded lettuce, julienned radishes, chopped onion oregano",1.31,per pound,2 weeks,Freeze poorly
7,radishes,1.31,per pound,2 weeks,Freeze poorly
8,"pickled radishes, carrots, and celery root",1.31,per pound,2 weeks,Freeze poorly
9,black radishes,1.31,per pound,2 weeks,Freeze poorly
10,daikon radishes,1.31,per pound,2 weeks,Freeze poorly
11,baby radishes,1.31,per pound,2 weeks,Freeze poorly
12,"radishes, sweet gherkins",1.31,per pound,2 weeks,Freeze poorly
13,radishes radishes,1.31,per pound,2 weeks,Freeze poorly
14,red radishes,1.31,per pound,2 weeks,Freeze poorly
15,lime radishes,1.31,per pound,2 weeks,Freeze poorly
16,"cilantro sprigs, sliced radishes",1.31,per pound,2 weeks,Freeze poorly
17,radishes celery,1.31,per pound,2 weeks,Freeze poorly
18,"fresh chives, thyme, and radishes",1.31,per pound,2 weeks,Freeze poorly
19,oz radishes,1.31,per pound,2 weeks,Freeze poorly
20,french breakfast radishes,1.31,per pound,2 weeks,Freeze poorly
21,watermelon radish radishes,0.33,per pound,2 weeks,Freeze poorly
22,watermelon radishes radishes,0.33,per pound,2 weeks,Freeze poorly
23,watermelon radishes,0.33,per pound,2 weeks,Freeze poorly
24,red onion radishes,1.04,per pound,2 weeks,Freeze poorly
25,iceberg lettuce radishes,1.21,per pound,2 weeks,Freeze poorly
26,flaky sea salt and horseradish-yogurt sauce,1.31,per pound,1 week after sell-by date,1-2 months
27,horseradish-yogurt sauce,1.31,per pound,1 week after sell-by date,1-2 months
28,cherry yogurt,3.59.per pound,0.92,1 week after sell-by date,1-2 months
29,banana-strawberry frozen yogurt,0.57,per pound,1 week after sell-by date,1-2 months
30,banana-strawberry yogurt,0.57,per pound,1 week after sell-by date,1-2 months
31,roasted beets with horseradish crème fraîche,1.31,per pound,2 weeks,8-12 months
32,beer and horseradish mustard,1.31,per pound,6-8 months,8-12 months
33,mustard-horseradish sauce,1.31,per pound,6-8 months,8-12 months
34,mustard mashed potatoes,0.56,per pound,6-8 months,8-12 months
35,accompaniment:mustard mashed potatoes,0.56,per pound,6-8 months,8-12 months
36,peach mustard,1.59,per pound,6-8 months,8-12 months
37,stemmed mustard greens,2.57,per pound,6-8 months,8-12 months
38,mustard greens or kale,2.57,per pound,6-8 months,8-12 months
39,curly mustard greens,2.57,per pound,6-8 months,8-12 months
40,coarsely chopped trimmed mustard greens,2.57,per pound,6-8 months,8-12 months
41,mustard greens,2.57,per pound,6-8 months,8-12 months
42,"mustard greens, turnip greens",2.57,per pound,6-8 months,8-12 months
43,stemmed red mustard greens,2.57,per pound,6-8 months,8-12 months
44,baby mustard greens,2.57,per pound,6-8 months,8-12 months
45,6-7-ounce mustard greens,2.57,per pound,6-8 months,8-12 months
46,pickled mustard greens,2.57,per pound,6-8 months,8-12 months
47,lb mustard greens,2.57,per pound,6-8 months,8-12 months
48,baby kale mustard greens,2.81,per pound,6-8 months,8-12 months
49,"mixed turnip, mustard, and collard greens",2.63,per pound,6-8 months,8-12 months
50,"each matchstick-size pieces peeled carrots, cucumbers, and radishes",1.31,per pound,2 weeks,8-12 months
51,carrots and onions,1.04,per pound,2 weeks,8-12 months
52,orange carrots,1.04,per pound,2 weeks,8-12 months
53,sour cream horseradish,1.31,per pound,7-21 days,Freezes poorly
54,sour cream and onion dip,1.04,per pound,7-21 days,Freezes poorly
55,pineapple spears and lemon slices,0.63,per pound,2-3 days,8-12 months
56,"pineapple spears, maraschino cherries",0.63,per pound,2-3 days,8-12 months
57,pineapple spears,0.63,per pound,2-3 days,8-12 months
58,pears dates,1.46,per pound,2-3 days,8-12 months
59,anjou pears,1.46,per pound,2-3 days,8-12 months
60,seckel pears,1.46,per pound,2-3 days,8-12 months
61,hard pears,1.46,per pound,2-3 days,8-12 months
62,sour pickle spears,1.46,per pound,2-3 days,8-12 months
63,barlett pears,1.46,per pound,2-3 days,8-12 months
64,lb pears,1.46,per pound,2-3 days,8-12 months
65,pickled pears,1.46,per pound,2-3 days,8-12 months
66,asian pears**,1.46,per pound,2-3 days,8-12 months
67,pears,1.46,per pound,2-3 days,8-12 months
68,cooking pears,1.46,per pound,2-3 days,8-12 months
69,moonglow pears,1.46,per pound,2-3 days,8-12 months
70,firm-ripe pears lemon,1.46,per pound,2-3 days,8-12 months
71,poached pears with cranberry puree,1.46,per pound,2-3 days,8-12 months
72,bose pears,1.46,per pound,2-3 days,8-12 months
73,pita chips and/or cucumber spears,1.46,per pound,2-3 days,8-12 months
74,dill pickle spears,1.46,per pound,2-3 days,8-12 months
75,asian pears,1.46,per pound,2-3 days,8-12 months
76,yellow belgian endive spears,1.46,per pound,2-3 days,8-12 months
77,7-ounce asian pears,1.46,per pound,2-3 days,8-12 months
78,bosc pears,1.46,per pound,2-3 days,8-12 months
79,bartlett pears,1.46,per pound,2-3 days,8-12 months
80,firm-ripe pears,1.46,per pound,2-3 days,8-12 months
81,bosc pears (1 to 1 1/4 pounds total,1.46,per pound,2-3 days,8-12 months
82,endive radicchio spears,1.46,per pound,2-3 days,8-12 months
83,cucumber spears,1.46,per pound,2-3 days,8-12 months
84,firm-ripe red bartlett pears,1.46,per pound,2-3 days,8-12 months
85,underripe medium-sized pears,1.46,per pound,2-3 days,8-12 months
86,mango spears,1.38,per pound,2-3 days,8-12 months
87,firm-ripe baby pineapples with leaves,0.63,per pound,5 days,8-12 months
88,pineapples,0.63,per pound,5 days,8-12 months
89,pineapple strawberries,0.63,per pound,5 days at room temperature,Freeze poorly
90,strawberries strawberry jam,2.36,per pound,5 days at room temperature,Freeze poorly
91,berries mango,1.38,per pound,5 days at room temperature,Freeze poorly
92,fruit strawberries and kiwifruit,2.04,per pound,5 days at room temperature,Freeze poorly
93,4 1/2-pound pineapple,0.63,per pound,3-5 days at room temperature,6 months
94,2 3/4-pound piece of watermelon,0.33,per pound,3-5 days at room temperature,6 months
95,1/2-pound potato,0.56,per pound,3-5 days at room temperature,6 months
96,3-to 3 1/4-pound butternut squash,1.24,per pound,3-5 days at room temperature,6 months
97,1 3/4-pound papaya,1.30,per pound,3-5 days at room temperature,6 months
98,"honeydew melon (5 pounds), chilled",0.80,per pound,3-5 days at room temperature,6 months
99,cantaloupe melon (1 1/2 pounds),0.54,per pound,3-5 days at room temperature,6 months
100,1 3/4-pound cantaloupe,0.54,per pound,3-5 days at room temperature,6 months
101,1 1/2-pound red cabbage,1.06,per pound,3-5 days at room temperature,6 months
102,mixed greens with raspberry vinaigrette,6.986,per pound,3-5 days,8-12 months
103,"onion greens, to garnish",1.04,per pound,3-5 days,8-12 months
104,medium-size greens spinach,3.83,per pound,3-5 days,8-12 months
105,"greens beet greens, swiss chard, kale, collards, mustard greens, turnip greens",2.81,per pound,3-5 days,8-12 months
106,"salad greens baby kale, or spinach",2.81,per pound,3-5 days,8-12 months
107,"leafy greens (kale, collards, and mustard",2.81,per pound,3-5 days,8-12 months
108,"greens baby kale, or collards",2.81,per pound,3-5 days,8-12 months
109,collard greens slaw,2.63,per pound,3-5 days,8-12 months
110,collard greens,2.63,per pound,3-5 days,8-12 months
111,lb collard greens,2.63,per pound,3-5 days,8-12 months
112,turnip greens or kale,2.47,per pound,3-5 days,8-12 months
113,turnip greens,2.47,per pound,3-5 days,8-12 months
114,"turnip greens, kale, or mustard greens",2.47,per pound,3-5 days,8-12 months
