Name,Average retail price,Unit_retail,Preparation yield factor,Size of a cup equivalent,Unit_cup,Average price per cup equivalent
Apple,1.57,per pound,0.9,0.243,pounds,0.42
Applesauce,1.08,per pound,1,0.54,pounds,0.58
Apple Juice,0.73,per pint,1,8,fl oz,0.36
Apple Juice(frozen),0.54,per pint,1,8,fl oz,0.27
Apricots,3.04,per pound,0.93,0.364,pounds,1.19
Apricots(canned),1.65,per pound,1,0.54,pounds,0.89
Apricot(dried),7.73,per pound,1,0.143,pounds,1.11
Banana,0.57,per pound,0.64,0.331,pounds,0.29
Mixed Berries(frozen),3.41,per pound,1,0.331,pounds,1.13
Blackberries,5.77,per pound,0.96,0.32,pounds,1.92
Blackberries(frozen),3.39,per pound,1,0.331,pounds,1.12
Blueberries,4.73,per pound,0.95,0.32,pounds,1.59
Blueberries(frozen),3.64,per pound,1,0.331,pounds,1.12
Cantaloupe,0.54,per pound,0.51,0.375,pounds,0.39
Cranberries(dried),4.79,per pound,1,0.123,pounds,0.59
Cherries,3.59,per pound,0.92,0.342,pounds,1.33
Cherries(canned),3.52,per pound,0.65,0.441,pounds,2.39
Dates,4.79,per pound,1,0.165,pounds,0.79
Figs(dried),5.75,per pound,0.96,0.165,pounds,0.99
Pineapple,0.63,per pound,0.51,0.364,pounds,0.45
Pineapple(canned),1.14,per pound,1,0.54,pounds,0.62
Pineapples(dried),5.5,per pound,1,0.154,pounds,0.85
Pineapple juice,0.91,per pint,1,8,fl oz,0.45
Pineapple juice(frozen),0.59,per pint,1,8,fl oz,0.3
Pomegranate,2.17,per pound,0.56,0.342,pounds,1.33
Pomegranate Juice,2.94,per pint,1,8,fl oz,1.47
Watermelon,0.33,per pound,0.52,0.331,pounds,0.21
Peaches,1.59,per pound,0.96,0.342,pounds,0.57
Peaches(canned),1.96,per pound,1,0.54,pounds,1.06
Peaches(frozen),2.89,per pound,1,0.331,pounds,0.96
Mangoes,1.38,per pound,0.71,0.364,pounds,0.71
Mangoes(dried),8.5,per pound,1,0.125,pounds,1.07
Papaya,1.3,per pound,0.62,0.309,pounds,0.65
Papaya(dried),4.57,per pound,1,0.154,pounds,0.7
Kiwi,2.04,per pound,0.76,0.386,pounds,1.04
Nectaries,1.76,per pound,0.91,0.32,pounds,0.62
Honeydew melon,0.8,per pound,0.46,0.375,pounds,0.65
Grapes,2.09,per pound,0.96,0.331,pounds,0.72
Grape Juice,0.91,per pint,1,8,fl oz,0.46
Grape Juice(frozen),0.72,per pint,1,8,fl oz,0.36
Grapefruit,0.9,per pound,0.49,0.463,pounds,0.85
Grapefruit Juice,0.82,per pint,1,8,fl oz,0.41
Grapefruit Juice(frozen),0.67,per pint,1,8,fl oz,0.34
Strawberries,2.36,per pound,0.94,0.32,pounds,0.8
Strawberries(frozen),2.38,per pound,1,0.331,pounds,0.79
