Product,Product Type Extension,Vendor,Effective,Remarks
"",period,,Date,
Apple Juice (canned),Beverages 18 months,N/A,6/1/97,
Apples & Applesauce,Fruit 24 months,N/A,6/1/97,
(canned),,,,
Apricots (canned),Fruit 24 months,N/A,6/1/97,
Baby cereal Del Monte,Baby food 30 days,Del Monte,6/9/04,Del Monte only
(oatmeal based),,,,
Baby cereal Del Monte,Baby food 60 days,Del Monte,6/9/04,Del Monte only
(rice based),,,,
Baby food (jarred)Del,Baby food 0 days,Del Monte,4/14/04,Del Monte only
Monte,,,,
Bacon(frozen),Meats indefinitely,N/A,12/23/03,Until product appears bad
Bacon Bits (imitation),Condiments 4 months,N/A,12/23/03,
"Bacon Oscar Meyer, Louis",Meats 60 days,Kraft,3/1/03,Kraft products only
Rich,,,,
Bagels (frozen),Breads & Cereal 2 months,N/A,12/23/03,
"Bakers, Calumet,",Baking 60 days,Kraft,3/1/03,Kraft products only
"Certo,Everfresh Kraft",Ingredients,,,
Bakery Mix Biscuit type,Breads & Cereal 12 months,N/A,6/1/97,
Baking Powder,Baking 6 months,N/A,12/23/03,
"",Ingredients,,,
BBQ sauce,Condiments 12 months,N/A,12/23/03,
Beans (canned),Vegetables 5 years,N/A,12/23/03,
"Beans, dried",Legumes 12 months,N/A,12/23/03,
Beans-canned (all types),Legumes 36 months,N/A,6/1/97,
Beans-dry (all types),Legumes 12 months,N/A,6/1/97,
Beans-vegetarian canned,Legumes 24 months,N/A,6/1/97,
Beef (canned),Meats 36 months,N/A,6/1/97,
Beef (frozen),Meats indefinitely,N/A,12/23/03,Until product appears bad
Beef patties (frozen),Meats indefinitely,N/A,6/1/97,Until product appears bad
Beef roast (frozen),Meats indefinitely,N/A,6/1/97,Until product appears bad
Beef-ground (frozen),Meats indefinitely,N/A,6/1/97,Until product appears bad
Biscuit or pancake mix,Baking 15 months,N/A,12/23/03,
"",Ingredients,,,
Blackberries/Blueberries,Fruit 18 months,N/A,6/1/97,
(Frozen),,,,
Bread dough (frozen),Breads & Cereal 0 days,N/A,12/23/03,
Bread mixes,Baking 18 months,N/A,12/23/03,
"",Ingredients,,,
Breakfast drink (shelf,Dairy 6 months,N/A,5/26/05,Website info
stable dairy product),,,,
"Butter & Margarine(Fleischmann's BlueBonnet & Parkay)",Butter & Margarine
(Fleischmann's Blue,
Bonnet & Parkay),
"Butter & Margarine,flavored spreads",Butter & Margarine
flavored spread,
Capri Sun Kraft,Capri Sun Kraft
"Cereal (2 lb or greaterplastic bags) Kellogg",Cereal (2 lb or greate
plastic bags) Kellog,
"Cereal (family-sized)Kellogg",Cereal (family-sized)
Kellog,
"Cereal (small boxes (2.0oz or less)) Kellogg",Cereal (small boxes (2.
oz or less)) Kellog,
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
"",Burritos (frozen),,Entrees,2 months,N/A,12/23/03,Until product appears bad
"",Butter,,Dairy,3 months,N/A,12/23/03,9 months frozen
"Butter & Margarine(Fleischmann's BlueBonnet & Parkay)",Butter & Margarine,Dairy,30 days,Nabisco,4/13/04,Nabisco only,
"",(Fleischmann's Blue,,,,,,
"",Bonnet & Parkay),,,,,,
"Butter & Margarine,flavored spreads",Butter & Margarine,Dairy,60 days,"Land O'Lakes",3/1/03,Land O'Lakes only,
"",flavored spread,,,,,,
Cakes & brownie mixes,Cakes & brownie mixe,"BakingIngredients",18 months,N/A,12/23/03,,
"",Cappucino  Kraft,,Beverages,60 days,Kraft,3/1/03,Kraft products only
Capri Sun Kraft,Capri Sun Kraft,Beverages,"18 days (drymix) 60 days(bottles orpouches)",Kraft,3/1/03,Kraft products only,
"",Carmel Corn w/ nut,,Snacks,90 days,N/A,4/25/05,Website info
"",Carrots (canned),,Vegetables,5 years,N/A,12/23/03,
"",Carrots (canned),,Vegetables,30 months,N/A,6/1/97,
"",Catsup,,Condiments,18 months,N/A,6/1/97,
"",Cereal - All type,,Breads & Cereal,12 months,N/A,6/1/97,
"Cereal (2 lb or greaterplastic bags) Kellogg",Cereal (2 lb or greate,Breads & Cereal,15 months,Kellogg's,3/7/03,"Good for 15 months frommanufacture date.",
"",plastic bags) Kellog,,,,,,
"Cereal (family-sized)Kellogg",Cereal (family-sized),Breads & Cereal,90 days,Kellogg's,3/7/03,Kellogg only,
"",Kellog,,,,,,
"Cereal (small boxes (2.0oz or less)) Kellogg",Cereal (small boxes (2.,Breads & Cereal,12 months,Kellogg's,3/7/03,"Good for 12 months frommanufacture date.",
"",oz or less)) Kellog,,,,,,
"","Cereal, cook before eating",,Breads & Cereal,12 months,N/A,12/23/03,
"","Cereal, ready-to-eat",,Breads & Cereal,12 months,N/A,12/23/03,
"",Cereals (Post brand),,Breads & Cereal,60 days,Kraft,3/1/03,Kraft products only
"Cheese (American,Cheddar, Mozzarella)",Cheese (American,Dairy,12 months,N/A,6/1/97,,
"","Cheddar, Mozzarella)",,,,,,
"",Cheese (hard),,Dairy,6 months,N/A,12/23/03,
"Cheese (Natural &Processed",Cheese (Natural &,Dairy,45 days,"Land O'Lakes",3/1/03,Land O'Lakes only,
"",Processed,,,,,,
"",Cheese- cottage,,Dairy,1 week,N/A,12/23/03,
"",Cheese- Grated (Kraft),,Dairy,60 days,Kraft,3/1/03,Kraft Cheese products only
"Cheese Sauces #10 cans& 9 oz cans",Cheese Sauces #10 can,Dairy,12 months,"Land O'Lakes",3/1/03,Land O'Lakes only,
"",& 9 oz can,,,,,,
"","Cheese- sliced, & Polli",,Dairy,30 days,Kraft,3/1/03,Kraft Cheese products only
"",Cheese Whiz Kraft,,Dairy,60 days,Kraft,3/1/03,Kraft Cheese products only
"",Cheesecake (KraftO,,Dairy,60 days,Kraft,3/1/03,Kraft Cheese products only
"",Cherries (frozen),,Fruit,24 months,N/A,6/1/97,
"",Chicken (canned),,Meats,2-5 years,N/A,12/23/03,
Cakes & brownie mixes,Cakes & brownie mixe
"Cheese (American,Cheddar, Mozzarella)",Cheese (American
"Cheddar, Mozzarella)",
"Cheese (Natural &Processed",Cheese (Natural &
Processed,
"Cheese Sauces #10 cans& 9 oz cans",Cheese Sauces #10 can
& 9 oz can,
Chocolate,Chocolate
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
"",Chicken- fried (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken- ground (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken nuggets (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken parts (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chicken- parts (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken thighs (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chicken- whole (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken-Cut up (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chicken-diced (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chili Sauce,,Condiments,12 months,N/A,12/23/03,
Chocolate,Chocolate,Candy,18-24 months,N/A,12/23/03,,
"",Chocolate syrup,,Desserts,24 months,N/A,12/23/03,
"Citrus products (guava,kiwi-strawberry) OceanSpray",Citrus products (guava,Beverages,30 days,Ocean Spray,3/1/03,Ocean Spray only,
"",kiwi-strawberry) Ocea,,,,,,
"",Spra,,,,,,
"",Cocktail sauce,,Condiments,12 months,N/A,12/23/03,
"",Cocoa & cocoa mixe,,Desserts,indefinitely,N/A,12/23/03,
"",Coffee (ground in cans),,Beverages,24 months,N/A,12/23/03,
"",Coffee (instant),,Beverages,12 months,N/A,12/23/03,
Coffee (starbucks) Kraft,Coffee (starbucks) Kraft,Beverages,365,Kraft,3/1/03,"Kraft products only - onsiteonly",
"Coffee Creamer(liquid/non-dairy",Coffee Creamer,Beverages,9 months,N/A,5/26/05,Non-dairy only,
"",(liquid/non-dair,,,,,,
"Coffee Kraft brands   (seeremarks)",Coffee Kraft brands   (see,Beverages,180 days,Kraft,3/1/03,"Kraft brands (Burlaps, Gen.Foods, Hotel & Rest., Jedi,Maxwell House, Origins, Sanka,Office Coffee Systems)",
"",remarks),,,,,,
"",Cooked fish (frozen),,Seafood,6 months,N/A,12/23/03,
"",Cookie,,Snacks,8 months,,,
"",Cookies (Bakery type),,snacks,2 months,N/A,12/23/03,
"",Cookies Keebler,,Snacks,4 months,Keebler,3/7/03,Keebler only
Cooking oil,Cooking oi,"BakingIngredients",6 months,N/A,12/23/03,,
Cooking oil- spray,Cooking oil- spra,"BakingIngredients",2 years,N/A,12/23/03,,
"",Corn (canned),,Vegetables,5 years,N/A,12/23/03,
"",Corn (cream),,Vegetables,36 months,N/A,6/1/97,
"Corn Flake Crumbs &Croutettes  Kellogg",Corn Flake Crumbs,Breads & Cereal,27 months,Kellogg's,3/7/03,"Good for 27 months frommanufacture date.",
Croutettes  Kellogg,,,,,,,
"Citrus products (guava,kiwi-strawberry) OceanSpray",Citrus products (guava
kiwi-strawberry) Ocea,
