raw prawn  peeled,$7.89
chicken stock cube stock,$2.59
bacon lardon,$3.79
frozen petits pois or peas,$0.99
balsamic vinegar glaze vinegar,$5.49
leftover roast cherry tomatoes,$0.69
chicken and gravy,$1.19
dried egg noodle,$1.99
blocks halloumi cheese,$2.49
ciabatta bread rolls,$2.99
palm heart,$4.99
black bean  drained and rinsed,$1.29
white wine vinegar vinegar,$1.99
passion fruits  flesh scooped out,$14.99
x sweetened condensed milk,$1.69
lemons lemon juice,$2.09
mixed berries and cherries,$9.99
unsprayed flowers,$14.79
30cm deep cake tin,$11.50
20cm deep cake tin,$32.00
10cm deep cake tin,$32.99
sewing cotton  for cutting cake,$2.99
20cm and 10cm thin cake boards,$25.00
cake paddle,$36.49
wire,$2.29
cake,$1.89
flower tape or kitchen foil,$2.59
chilled sparkling wine,$3.39
mint leaves leaves,$3.29
smoked tofu,$3.99
sachet cooked puy lentils,$1.99
spring onions  toasted sesame seeds and cooked rice,$4.29
miso soup,$2.59
pack of 2 skinless salmon fillet,$14.49
grated zest and juice 1 small lime,$1.89
orange pepper,$1.39
pitted black kalamata olive  halved  about 8 ,$1.29
quinoa quinoa,$4.99
white fish cod,$4.39
chopped strawberry  blueberries and raspberries,$2.69
wheatgerm,$3.59
fish stock cube,$3.79
mackerel  cut into thick pieces  or use boneless fillets if you prefer ,$11.99
Oatibix,
cherry tomatoes pomegranate seeds,$2.99
raw beetroots  peeled and roughly chopped,$7.29
coconut water,$7.99
tin sweetened condensed milk,$1.69
toasted chopped pistachio,$9.59
hot pepper sauce,$3.69
dried yeast,$1.49
tapioca flour,$3.29
vegetable shortening,$3.79
palm,$9.99 - $12.99
chorizo cooking sausages,$3.99
rice parsley,$1.04
Spanish paprika,$3.39
onion salt,$1.29
liquid smoke,$1.49
brioche buns,$2.69
Tangy cabbage slaw,$1.79
agave nectar or honey,$7.99
apple cider vinegar,$6.19
pink and caramel food colouring pastes,$3.19
fine polenta cornmeal or semolina,$2.99
red berries,$3.89
purple berries,$9.49
lolly sticks,$12.91
mixed berry and currants,$2.69
pack cooking chorizo,$1.99 / per lb
limes  reserve the juice for the salad  and wedges  to serve ,$2.08
white balsamic vinegar,$2.69
small aubergine  thinly sliced lengthways,$2.29
pizza dough,$0.99
firm mozzarella,$2.29
gorgonzola,$6.99
crispy salad,$1.49
wholemeal basmati rice,$2.99
head pak choi,$16.79
large fennel bulb,$17.99
lean lamb shoulder,$16.99
dried taglioni pasta,$1.79
chicken breasts chicken,$1.99 / per lb
raw peeled prawns,$6.99
large aubergine  thinly sliced lengthways,$2.29
mixture of boneless salmon and white fish fillets,$14.49
spare rib  cut between the bones  if a whole rack,$20.12
1l ginger beer,$5.99
good of ground mace or nutmeg,$5.39
cooked artichoke in olive oil,$6.19
white sugar cubes sugar,$1.79
clotted cream and jam,$3.19
1kg small heirloom beetroots,$19.99
bag pea shoots,$3.49
extra virgin olive oil oil,$8.59
edible flowers ice cubes,$9.99
citrus fruits juice,$3.79
bread roll,$3.49
garden pea,$0.99
masala curry paste,$3.59
redcurrant  removed from stems ,$10.49
Cumberland pork chipolata,$1.99 / per lb
conchigliette pasta,$1.39
pesto or tapenade,$1.99
raisins cherries blueberries apricots,$2.99
summer berries and milk,$0.89
few large pinches of paprika,$2.99
Worcestershire sauce Dijon mustard and brown sugar,$0.99
cannellini beans beans,$0.99
coriander or parsley and tortillas,$5.29
chunky slices of baguettes,$4.49 / per lb
fish fillets,$6.99
self raising flour,$2.69
vanilla extract or almond extract,$3.69
yoghurt,$6.49
smoked Spanish paprika  sweet or hot  whichever you prefer ,$3.39
juice and zest of 1 large lemon,$16.99
mini wooden skewers,$1.99
sweet peppers,$3.19
caper berries,$1.39
peaches nectarines or apricots,$2.79
orange and pink food colouring  optional ,$3.19
caramel biscuits,$1.99
green Thai curry paste,$3.99
Thai basil  leaves picked,$2.49
Cucumber salad lime rice,$1.99
dashi,$40.00
assorted biscuits,$4.49
waffle cones,$1.99
chocolate Flakes,$3.79
jumbo rolled oats,$5.29
